EVENTO,FORMADOR (A)/TUTOR (A),INICIO DA FORMAÇÃO,FIM DA FORMAÇÃO,HORARIO INICIO,HORARIO FIM,CH,MODALIDADE,LOCAL,PÚBLICO-ALVO
CURSO TÓPICOS DE SINTAXE DA LÍNGUA PORTUGUESA,AUTOINSTRUCIONAL – compartilhado STJ,03/02/25,28/02/25,,,22h/a,EAD,MOODLE,SERV. TJAP
CURSO RESPONSABILIDADE CIVIL POR DANOS AMBIENTAIS: ASPECTOS TEÓRICOS E PERSPECTIVA JURISPRUDENCIAL,TUTOR JORGE DI CIERO  (INSTRUTOR EXTERNO-MAGIS TJCE),03/02/25,28/02/25,,,22h/a,EAD,EAD,MAGIS/ASSESSOR
CURSO PROCESSO JUDICIAL ELETRÔNICO (PJE) NA PRÁTICA – CRIMINAL,ESCLEPÍADES DE OLIVEIRA NETO E RAIMUNDO SANTANA LIMA FILHO  (INSTRUTORES INTERNOS),10/02/25,14/02/25,14:00,18:00,20h/a,REMOTO,ZOOM,SERV. ÁREA CRIMINAL
CURSO INCLUSÃO SOCIAL E NO TRABALHO DE PESSOAS COM DEFICIÊNCIA,AUTOINSTRUCIONAL – COMPARTILHADO PELA ESCOLA JUDICIAL DO TJMG,10/02/25,10/03/25,,,20h/a,EAD,MOODLE,MAGIS. SERV.
CURSO FACILITADOR DE CÍRCULOS REFLEXIVOS PARA AUTORES DE VIOLÊNCIA DOMESTICA E FAMÍLIA,ADRIANO BEIRAS  (INSTRUTOR EXTERNO),12/02/25,14/02/25,,,20h/a,PRESENCIAL,EJAP,MAGIS/SERV/REDE DE APOIO À MULHER
CURSO FORMAÇÃO DE FACILITADOR JUSTIÇA RESTAURATIVA - MÓDULO 1,ANGELA DO SOCORRO PAIVA FERREIRA MARTINS e LUCINEIDE LIMA SANTOS (INSTRUTORAS INTERNAS),17/02/25,21/02/25,08:30,12:30,20h/a,PRESENCIAL,EJAP,INDICAÇÃO CEVID/TJAP
CURSO AS FERRAMENTAS ESTATÍSTICAS DO PODER JUDICIÁRIO E PREMIAÇÕES DO CNJ,ISABELA PAGANI HERINGER DE MIRANDA (INSTRUTORA EXTERNA),17/02/25,21/02/25,14:00,18:00,20h/a,REMOTO,ZOOM,SERV. TJAP
CURSO PROGRAMA JUSTIÇA CARBONO ZERO RESOLUÇÃO CNJ 594/2024,CONEXXÕES EDUCAÇÃO (PJ),17/02/25,21/02/25,,,18h/a,EAD,EAD,3 SERV.
CURSO OFICIAL DE FORMAÇÃO INICIAL PARA MAGISTRADAS E MAGISTRADOS PROVENIENTES DO X CONCURSO PÚBLICO PARA PROVIMENTO DO CARGO DE JUIZ SUBSTITUTO DO TRIBUNAL DE JUSTIÇA DO ESTADO DO AMAPÁ – TURMA 3,-,19/02/25,-,08:00,18:00,-,PRESENCIAL,PRESENCIAL,3 (TRÊS) MAGIS. RECÉM- EMPOSSADOS (AS)
CURSO LIDERANÇA 4.0: COMPETENCIAS GERENCIAIS NA ERA DA INTELIGÊNCIA ARTIFICIAL,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,24/02/25,07/04/25,,,60h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO PROCESSO JUDICIAL ELETRÔNICO (PJE) NA PRÁTICA – CRIMINAL,ESCLEPÍADES DE OLIVEIRA NETO E RAIMUNDO SANTANA LIMA FILHO  (INSTRUTORES INTERNOS),24/02/25,28/02/25,14:00,18:00,20h/a,REMOTO,ZOOM,SERV. ÁREA CRIMINAL
CURSO ACESSIBILIDADE E INCLUSÃO NO AMBIENTE JURÍDICO,AUTOINSTRUCIONAL – compartilhado Ejud2 – TRT2,06/03/25,31/03/25,,,20h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO AGENDA 2030 E OS OBJETIVOS DO DESENVOLVIMENTO SUSTENTÁVEL,AUTOINSTRUCIONAL – compartilhado STJ,06/03/25,31/03/25,,,24h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO GESTÃO DE PROJETOS - PROGRAMA JUSTIÇA 4.0 -,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,06/03/25,31/03/25,,,20h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO PROCESSO JUDICIAL ELETRÔNICO (PJE) NA PRÁTICA – CRIMINAL,ESCLEPÍADES DE OLIVEIRA NETO E RAIMUNDO SANTANA LIMA FILHO  (INSTRUTORES INTERNOS),10/03/25,14/03/25,14:00,18:00,20h/a,REMOTO,ZOOM,SERV. ÁREA CRIMINAL
WEBINÁRIO MESTRADO UFRJ,A DEFINIR,10/03/25,10/03/25,14:30,16:30,2H,REMOTO,ZOOM,MAGIS E SERV. INTERESSADOS (AS) MESTRADO.
CURSO TECNOLOGIA E INOVAÇÃO – MÓDULO 1: USANDO A TECNOLOGIA PARA UMA GESTÃO MAIS EFICIENTE,EDGAR DO NASCIMENTO CASTELO (INSTRUTOR INTERNO),10/03/25,14/03/25,,,20h/a,REMOTO,ZOOM,30 SERV.
CURSO SNGB: CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0,CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,10/03/25,14/03/25,,,3h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO DOMINE INTELIGÊNCIA ARTIFICIAL ATRAVÉS DAS PLATAFORMAS MAIS UTILIZADAS DO MERCADO E REVOLUCIONE SUA ROTINA,BRUNO LUIZ AGUIAR LIMA SANTOS  (PJ),11/03/25,25/03/25,08:30,10:30,10h/a,REMOTO,ZOOM,SERV.TJAP
CURSO FORMAÇÃO NO PROTOCOLO BRASILEIRO DE ENTREVISTA FORENSE (PBEF) PARA USO EM DEPOIMENTO ESPECIAL –  *CREDENCIADO NA ENFAM,SIMONY FREITAS DE MELO  (PJ WORKING ASSOCIAÇÃO DE INTEGRAÇÃO PROFISSIONAL),17/03/25,15/04/25,,,40h/a,EAD,MOODLE,30  MAGIS./ SERV.
"CURSO SNIPER, CAPACITAÇÃO PARA UTILIZAÇÃO - PROGRAMA JUSTIÇA 4.0",CURSO COMPARTILHADO PELA CEAJUD Autoinstrucional,17/03/25,21/03/25,,,4h/a,EAD,MOODLE,MAGIS. SERV. TJAP
CURSO FORMAÇÃO DE FACILITADOR JUSTIÇA RESTAURATIVA - MÓDULO 2,ANGELA DO SOCORRO PAIVA FERREIRA MARTINS E LUCINEIDE LIMA SANTOS (INSTRUTORAS INTERNAS),24/03/25,28/03/25,08:30,12:30,20h/a,PRESENCIAL,PRESENCIAL,INDICAÇÃO CEVID/TJAP
CURSO TREINAMENTO EM E-SOCIAL PARA ÓRGÃOS PÚBLICOS– MÓDULO 2,MARIA CARMEM MACIEL DOS SANTOS PESSOA JURÍDICA GESTAP,24/03/25,28/03/25,08:00,13:00,20h/a,PRESENCIAL,PRESENCIAL,SERV. SEGESP/ TJAP
CURSO HABILIDADES EM T&D – FORMANDO PROFISISONAIS QUE DESENVOLVEM PESSOAS,ASSOCIAÇÃO BRASILIERA DE TREINAMENTO E DESENVOLVIMENTO - ABDT,MARÇO,MARÇO,,,50h/a,EAD,EAD,SERV. EJAP
